id,Prevalence of severe food insecurity in the total population (percent) (3-year average),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),Food Insecure Categorical
552,2.4,23.3,0
567,2.4,23.3,0
70,2.4,23.3,0
1928,,,0
1846,,,0
20,,,0
1927,,,0
1859,,,0
1172,0.5,6.2,0
768,0.5,6.2,0
130,0.5,6.3,0
1512,0.5,6.35,0
1477,0.5,6.5,0
559,,,0
606,,,0
1732,,,0
1474,,,0
861,,,0
1665,22.3,49.75,0
1808,22.46666667,50.1,1
1075,22.83333333,50.76666667,1
700,23,51.1,1
1426,23.2,51.4,1
310,36.3,66.85,1
50,35.6,66.8,1
1148,34.06666667,67.83333333,1
1637,33.15,68.25,1
679,32.1,69.8,1
